token	type
pad	word
bos	word
eos	word
unk	word
in	word
t	word
ing	word
s	word
w	word
.	word
o	word
an	word
b	word
he	word
re	word
in	word
p	word
it	word
m	word
c	word
le	word
er	word
the	word
is	word
ro	word
an	word
ar	word
g	word
f	word
on	word
h	word
d	word
la	word
al	word
ir	word
en	word
at	word
and	word
man	word
un	word
of	word
is	word
om	word
st	word
ck	word
lo	word
ith	word
with	word
or	word
ld	word
et	word
es	word
wh	word
to	word
wom	word
on	word
id	word
,	word
sh	word
and	word
do	word
king	word
ear	word
ed	word
woman	word
op	word
ra	word
tw	word
are	word
two	word
her	word
ss	word
bo	word
ic	word
y	word
irt	word
ut	word
pla	word
at	word
pe	word
re	word
ople	word
people	word
all	word
oun	word
l	word
up	word
ting	word
play	word
ch	word
wear	word
wearing	word
th	word
ers	word
r	word
wn	word
shirt	word
ite	word
stand	word
st	word
ch	word
ge	word
j	word
ur	word
n	word
sit	word
ide	word
ile	word
youn	word
young	word
ild	word
ba	word
lo	word
white	word
ho	word
ue	word
lack	word
irl	word
gh	word
black	word
co	word
girl	word
el	word
bl	word
ot	word
fro	word
um	word
und	word
while	word
his	word
ad	word
wal	word
dog	word
boy	word
blue	word
be	word
out	word
ts	word
il	word
red	word
wat	word
us	word
am	word
e	word
ver	word
gro	word
ce	word
ro	word
sitting	word
men	word
child	word
ri	word
hold	word
standing	word
loo	word
stre	word
playing	word
ard	word
street	word
nt	word
im	word
group	word
down	word
oo	word
as	word
round	word
la	word
ree	word
sm	word
front	word
her	word
ow	word
ve	word
walking	word
low	word
he	word
ks	word
holding	word
ke	word
ha	word
ta	word
ion	word
som	word
gra	word
ent	word
k	word
ul	word
ress	word
one	word
ct	word
water	word
se	word
bo	word
ie	word
side	word
car	word
pa	word
dress	word
ach	word
back	word
ying	word
by	word
wor	word
po	word
three	word
ugh	word
up	word
fo	word
ump	word
reen	word
run	word
ra	word
igh	word
ark	word
tle	word
for	word
ne	word
le	word
thro	word
bu	word
cro	word
uit	word
green	word
hing	word
women	word
red	word
ack	word
sw	word
v	word
sk	word
for	word
bro	word
jump	word
lit	word
ay	word
looking	word
rid	word
se	word
form	word
ind	word
ma	word
one	word
hat	word
ren	word
ble	word
sn	word
lar	word
ther	word
bi	word
little	word
ood	word
large	word
or	word
other	word
outside	word
side	word
yel	word
brown	word
to	word
erson	word
yellow	word
person	word
over	word
ball	word
some	word
lon	word
children	word
con	word
sp	word
snow	word
through	word
ly	word
ain	word
tra	word
hand	word
ball	word
ian	word
em	word
ure	word
lass	word
che	word
air	word
from	word
their	word
xt	word
ning	word
yc	word
old	word
ink	word
build	word
other	word
building	word
jack	word
small	word
next	word
wa	word
ight	word
into	word
ig	word
jacket	word
ground	word
ap	word
wd	word
so	word
crowd	word
alk	word
te	word
ving	word
near	word
dressed	word
sh	word
board	word
grass	word
ange	word
another	word
running	word
dy	word
it	word
clo	word
riding	word
ar	word
pp	word
ate	word
ru	word
ield	word
sc	word
cam	word
ph	word
around	word
cer	word
age	word
ans	word
walk	word
ist	word
orange	word
ling	word
ick	word
ount	word
ycle	word
off	word
field	word
table	word
fa	word
lasses	word
rying	word
per	word
work	word
stands	word
beach	word
ep	word
background	word
go	word
pink	word
mo	word
ture	word
dle	word
beh	word
behind	word
air	word
sidewalk	word
ff	word
ine	word
ity	word
sun	word
jumping	word
perform	word
un	word
pic	word
era	word
girls	word
shor	word
ching	word
dr	word
sits	word
top	word
head	word
sho	word
rock	word
by	word
end	word
sur	word
iling	word
bike	word
'	word
that	word
cing	word
camera	word
gu	word
wall	word
looks	word
ip	word
ire	word
ating	word
picture	word
park	word
te	word
asian	word
way	word
ter	word
tal	word
hair	word
com	word
ud	word
cl	word
dogs	word
city	word
wood	word
do	word
ves	word
bus	word
ants	word
uitar	word
guitar	word
eat	word
ice	word
je	word
four	word
sk	word
read	word
player	word
ub	word
older	word
as	word
get	word
soc	word
bic	word
ountain	word
him	word
dan	word
ame	word
has	word
ction	word
gray	word
ool	word
working	word
ches	word
ill	word
lond	word
ors	word
blond	word
soccer	word
guy	word
ething	word
something	word
mid	word
alon	word
veral	word
ph	word
several	word
hel	word
par	word
lle	word
talking	word
colo	word
shorts	word
phone	word
walk	word
bri	word
lady	word
les	word
ng	word
uni	word
qu	word
clot	word
shirt	word
li	word
skate	word
pants	word
walks	word
ant	word
boys	word
ben	word
smiling	word
ac	word
them	word
uniform	word
ation	word
jeans	word
ll	word
ad	word
plays	word
est	word
ign	word
dark	word
ive	word
gg	word
bicycle	word
along	word
pre	word
pro	word
che	word
br	word
road	word
swim	word
kes	word
ful	word
kid	word
food	word
rip	word
ore	word
suit	word
skateboard	word
umb	word
gether	word
game	word
carrying	word
together	word
sand	word
holds	word
flo	word
pur	word
are	word
imb	word
base	word
bench	word
ward	word
outdo	word
